,Episode Batch,Learning Rate,Mean Absolute Error,Mean Squared Error,Batch Gym Reward,Batch User Reward,Avg. Episode Length (t),BAC Gradient,Policy Evolution
0,1.0,0.025,0.027229120000000107,0.0007414249759744058,-100.0,-8.0,2.2,"[[6.37489547e-11]
 [1.59761945e-08]
 [2.21554265e-06]
 ...
 [1.71498735e-02]
 [7.53920682e-04]
 [1.83671684e-05]]","[[1.59372387e-12]
 [3.99404864e-10]
 [5.53885663e-08]
 ...
 [4.28746838e-04]
 [1.88480170e-05]
 [4.59179209e-07]]"
1,2.0,0.025,0.005549415000000002,6.159201368445005e-05,-4350.0,-25.0,5.0,"[[-1.34113769e+01]
 [-3.84985858e+01]
 [-6.07473400e+01]
 ...
 [ 5.08872902e-03]
 [ 1.46418089e-04]
 [ 2.31542074e-06]]","[[-3.35284424e-01]
 [-9.62464644e-01]
 [-1.51868344e+00]
 ...
 [ 5.55965063e-04]
 [ 2.25084693e-05]
 [ 5.17064727e-07]]"
2,3.0,0.025,0.0038336500000000218,4.40906169675005e-05,-1850.0,-13.0,3.0,"[[4.44052026e-09]
 [7.10471665e-07]
 [6.29037141e-05]
 ...
 [9.79810906e-05]
 [1.68612868e-06]
 [1.61456665e-08]]","[[-3.35284423e-01]
 [-9.62464627e-01]
 [-1.51868187e+00]
 ...
 [ 5.58414590e-04]
 [ 2.25506225e-05]
 [ 5.17468369e-07]]"
3,4.0,0.025,0.0040390100000000095,6.525440712040031e-05,-5350.0,-29.0,6.0,"[[ 2.36812454e+01]
 [ 6.83357481e+01]
 [ 8.17996422e+01]
 ...
 [-1.46554995e-07]
 [-7.51352677e-10]
 [-2.13158147e-12]]","[[2.56746712e-01]
 [7.45929075e-01]
 [5.26309183e-01]
 ...
 [5.58410926e-04]
 [2.25506037e-05]
 [5.17468316e-07]]"
4,5.0,0.025,0.0004521959999999936,1.0224061120799712e-06,-3250.0,-17.0,3.6,"[[ 3.45116985e+01]
 [ 9.16818783e+01]
 [ 1.42858168e+02]
 ...
 [-5.21015029e-08]
 [-2.65069610e-10]
 [-7.46247577e-13]]","[[1.11953918e+00]
 [3.03797603e+00]
 [4.09776338e+00]
 ...
 [5.58409624e-04]
 [2.25505971e-05]
 [5.17468297e-07]]"
5,6.0,0.025,0.0013541116666666575,1.1001710434816517e-05,-2750.0,-17.0,3.8,"[[-6.11653764e-04]
 [-1.14925480e-02]
 [-1.09357822e-01]
 ...
 [-8.86597751e-05]
 [-1.27590303e-06]
 [-1.01608542e-08]]","[[1.11952388e+00]
 [3.03768872e+00]
 [4.09502943e+00]
 ...
 [5.56193129e-04]
 [2.25186995e-05]
 [5.17214276e-07]]"
6,7.0,0.025,5.184285714276982e-06,1.8813772857079476e-10,-1150.0,-11.0,2.4,"[[2.81034506e-14]
 [1.47537573e-11]
 [4.28609044e-09]
 ...
 [2.45404572e-02]
 [9.80068612e-04]
 [2.28618282e-05]]","[[1.11952388e+00]
 [3.03768872e+00]
 [4.09502943e+00]
 ...
 [1.16970456e-03]
 [4.70204148e-05]
 [1.08875998e-06]]"
7,8.0,0.025,0.0037583137500000058,0.00011299937794751285,-900.0,-12.0,2.8,"[[5.62222276e-05]
 [1.95020873e-03]
 [3.74339543e-02]
 ...
 [2.28970023e-02]
 [6.61001088e-04]
 [1.05595942e-05]]","[[1.11952529e+00]
 [3.03773747e+00]
 [4.09596528e+00]
 ...
 [1.74212962e-03]
 [6.35454420e-05]
 [1.35274983e-06]]"
8,9.0,0.025,0.002416474444444446,5.2554138665877844e-05,-1850.0,-13.0,2.8,"[[1.70887098e-08]
 [2.35401944e-06]
 [1.79439821e-04]
 ...
 [3.32490772e-03]
 [1.05873295e-04]
 [1.86574955e-06]]","[[1.11952529e+00]
 [3.03773753e+00]
 [4.09596977e+00]
 ...
 [1.82525231e-03]
 [6.61922744e-05]
 [1.39939357e-06]]"
9,10.0,0.025,0.0020714220000000007,4.2907891020840024e-05,-400.0,-10.0,2.6,"[[1.18998624e-06]
 [7.17876879e-05]
 [2.39645537e-03]
 ...
 [3.37083461e-03]
 [6.98255837e-05]
 [8.00411305e-07]]","[[1.11952532e+00]
 [3.03773933e+00]
 [4.09602968e+00]
 ...
 [1.90952318e-03]
 [6.79379140e-05]
 [1.41940386e-06]]"
